Time(dd/mm/yyyy),Time_min,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa),flag
25/01/2024 3:15:18 AM,49,1059,19.3,51,1019.6,
25/01/2024 3:16:18 AM,50,1047,19.3,51,1019.7,
25/01/2024 3:17:18 AM,51,1068,19.3,51,1019.7,
25/01/2024 3:18:18 AM,52,1082,19.4,51,1019.6,
25/01/2024 3:19:18 AM,53,1065,19.3,51,1019.6,
25/01/2024 3:20:18 AM,54,1048,19.3,51,1019.7,
25/01/2024 3:21:18 AM,55,1062,19.3,51,1019.7,
25/01/2024 3:22:18 AM,56,1056,19.3,51,1019.6,
25/01/2024 3:23:18 AM,57,1071,19.3,51,1019.6,
25/01/2024 3:24:18 AM,58,1073,19.3,51,1019.5,
25/01/2024 3:25:18 AM,59,1086,19.3,51,1019.5,
25/01/2024 3:26:18 AM,60,1102,19.3,51,1019.5,
25/01/2024 3:27:18 AM,61,1095,19.3,51,1019.5,
25/01/2024 3:28:18 AM,62,1095,19.3,51,1019.5,
25/01/2024 3:29:18 AM,63,1088,19.3,51,1019.5,
25/01/2024 3:30:18 AM,64,1096,19.3,51,1019.4,
25/01/2024 3:31:18 AM,65,1099,19.3,51,1019.4,
25/01/2024 3:32:18 AM,66,1110,19.3,51,1019.4,
25/01/2024 3:33:18 AM,67,1105,19.3,51,1019.3,
25/01/2024 3:34:18 AM,68,1124,19.3,52,1019.3,
25/01/2024 3:35:18 AM,69,1134,19.3,52,1019.4,
25/01/2024 3:36:18 AM,70,1101,19.3,52,1019.3,
25/01/2024 3:37:18 AM,71,1114,19.3,52,1019.3,
25/01/2024 3:38:18 AM,72,1121,19.3,52,1019.2,
25/01/2024 3:39:18 AM,73,1140,19.3,52,1019.3,
25/01/2024 3:40:18 AM,74,1130,19.3,52,1019.3,
25/01/2024 3:41:18 AM,75,1097,19.3,51,1019.3,
25/01/2024 3:42:18 AM,76,1069,19.3,51,1019.3,
25/01/2024 3:43:18 AM,77,1056,19.3,51,1019.2,
25/01/2024 3:44:18 AM,78,1048,19.3,51,1019.2,
25/01/2024 3:45:18 AM,79,1047,19.3,51,1019.3,
25/01/2024 3:46:18 AM,80,1033,19.3,51,1019.2,
25/01/2024 3:47:18 AM,81,1033,19.3,51,1019.2,
25/01/2024 3:48:18 AM,82,1043,19.3,51,1019.3,
25/01/2024 3:49:18 AM,83,1029,19.3,51,1019.2,
25/01/2024 3:50:18 AM,84,1061,19.3,51,1019.2,
25/01/2024 3:51:18 AM,85,1096,19.3,51,1019.2,
25/01/2024 3:52:18 AM,86,1102,19.2,51,1019.1,
25/01/2024 3:53:18 AM,87,1087,19.2,51,1019.1,
25/01/2024 3:54:18 AM,88,1095,19.2,51,1019.1,
25/01/2024 3:55:18 AM,89,1098,19.2,51,1019.1,
25/01/2024 3:56:18 AM,90,1124,19.2,51,1019.1,
25/01/2024 3:57:18 AM,91,1102,19.1,52,1019.1,
25/01/2024 3:58:18 AM,92,1116,19.1,52,1019.1,
25/01/2024 3:59:18 AM,93,1113,19.1,52,1019.2,
25/01/2024 4:00:18 AM,94,1104,19.1,52,1019.1,
25/01/2024 4:01:18 AM,95,1112,19.1,52,1019.2,
25/01/2024 4:02:18 AM,96,1088,19.1,52,1019.1,
25/01/2024 4:03:18 AM,97,1080,19.1,52,1019.1,
25/01/2024 4:04:18 AM,98,1054,19.2,52,1019.1,
25/01/2024 4:05:18 AM,99,1045,19.2,52,1019,
25/01/2024 4:06:18 AM,100,1042,19.3,52,1019,
25/01/2024 4:07:18 AM,101,1041,19.3,51,1019,
25/01/2024 4:08:18 AM,102,1043,19.4,51,1019,
25/01/2024 4:09:18 AM,103,1024,19.5,51,1018.9,
25/01/2024 4:10:18 AM,104,1032,19.5,51,1018.9,
25/01/2024 4:11:18 AM,105,1024,19.6,51,1018.8,
25/01/2024 4:12:18 AM,106,1036,19.6,51,1018.8,
25/01/2024 4:13:18 AM,107,1033,19.7,51,1018.8,
25/01/2024 4:14:18 AM,108,1040,19.7,51,1018.7,
25/01/2024 4:15:18 AM,109,1016,19.8,51,1018.7,
25/01/2024 4:16:18 AM,110,1038,19.8,51,1018.6,
25/01/2024 4:17:18 AM,111,1018,19.9,51,1018.7,
25/01/2024 4:18:18 AM,112,1020,19.9,51,1018.7,
25/01/2024 4:19:18 AM,113,1009,20,51,1018.7,
25/01/2024 4:20:18 AM,114,1014,20,51,1018.6,
25/01/2024 4:21:18 AM,115,1007,20.1,51,1018.6,
25/01/2024 4:22:18 AM,116,1001,20.1,50,1018.6,
25/01/2024 4:23:18 AM,117,1014,20.2,50,1018.5,
25/01/2024 4:24:18 AM,118,1012,20.2,50,1018.5,
25/01/2024 4:25:18 AM,119,1010,20.2,50,1018.6,
25/01/2024 4:26:18 AM,120,984,20.3,50,1018.6,
25/01/2024 4:27:18 AM,121,992,20.3,50,1018.6,
25/01/2024 4:28:18 AM,122,997,20.3,50,1018.6,
25/01/2024 4:29:18 AM,123,993,20.4,50,1018.6,
25/01/2024 4:30:18 AM,124,992,20.4,50,1018.6,
25/01/2024 4:31:18 AM,125,986,20.4,50,1018.5,
25/01/2024 4:32:18 AM,126,984,20.4,50,1018.5,
25/01/2024 4:33:18 AM,127,988,20.3,50,1018.6,
25/01/2024 4:34:18 AM,128,984,20.3,50,1018.5,
25/01/2024 4:35:18 AM,129,969,20.3,50,1018.4,
25/01/2024 4:36:18 AM,130,987,20.3,50,1018.4,
25/01/2024 4:37:18 AM,131,982,20.3,50,1018.4,
25/01/2024 4:38:18 AM,132,970,20.3,50,1018.4,
25/01/2024 4:39:18 AM,133,963,20.3,50,1018.3,
25/01/2024 4:40:18 AM,134,983,20.2,50,1018.3,
25/01/2024 4:41:18 AM,135,955,20.2,50,1018.3,
25/01/2024 4:42:18 AM,136,955,20.2,50,1018.3,
25/01/2024 4:43:18 AM,137,941,20.2,50,1018.3,
25/01/2024 4:44:18 AM,138,954,20.3,50,1018.4,
25/01/2024 4:45:18 AM,139,925,20.3,50,1018.3,
25/01/2024 4:46:18 AM,140,939,20.3,50,1018.3,
25/01/2024 4:47:18 AM,141,938,20.4,50,1018.3,
25/01/2024 4:48:18 AM,142,941,20.5,50,1018.3,
25/01/2024 4:49:18 AM,143,929,20.5,50,1018.2,
25/01/2024 4:50:18 AM,144,945,20.5,50,1018.2,
25/01/2024 4:51:18 AM,145,935,20.6,50,1018.2,
25/01/2024 4:52:18 AM,146,943,20.6,50,1018.2,
25/01/2024 4:53:18 AM,147,932,20.7,49,1018.2,
25/01/2024 4:54:18 AM,148,934,20.7,49,1018.2,
25/01/2024 4:55:18 AM,149,910,20.7,49,1018.2,
25/01/2024 4:56:18 AM,150,911,20.7,49,1018.2,
25/01/2024 4:57:18 AM,151,924,20.7,49,1018.2,
25/01/2024 4:58:18 AM,152,918,20.7,49,1018.2,
25/01/2024 4:59:18 AM,153,911,20.7,49,1018.3,
25/01/2024 5:00:18 AM,154,910,20.7,49,1018.2,
25/01/2024 5:01:18 AM,155,925,20.7,49,1018.2,
25/01/2024 5:02:18 AM,156,907,20.7,49,1018.2,
25/01/2024 5:03:18 AM,157,905,20.7,49,1018.2,
25/01/2024 5:04:18 AM,158,916,20.7,49,1018.3,
25/01/2024 5:05:18 AM,159,902,20.7,49,1018.3,
25/01/2024 5:06:18 AM,160,909,20.7,49,1018.3,
25/01/2024 5:07:18 AM,161,895,20.6,49,1018.3,
25/01/2024 5:08:18 AM,162,886,20.6,49,1018.3,
25/01/2024 5:09:18 AM,163,899,20.6,49,1018.3,
25/01/2024 5:10:18 AM,164,886,20.6,49,1018.3,
25/01/2024 5:11:18 AM,165,892,20.6,49,1018.3,
25/01/2024 5:12:18 AM,166,878,20.6,49,1018.3,
25/01/2024 5:13:18 AM,167,884,20.5,49,1018.2,
25/01/2024 5:14:18 AM,168,868,20.5,49,1018.2,
25/01/2024 5:15:18 AM,169,895,20.5,49,1018.3,
25/01/2024 5:16:18 AM,170,872,20.5,49,1018.3,
25/01/2024 5:17:18 AM,171,879,20.6,49,1018.3,
25/01/2024 5:18:18 AM,172,870,20.6,49,1018.3,
25/01/2024 5:19:18 AM,173,868,20.6,49,1018.3,
25/01/2024 5:20:18 AM,174,868,20.6,49,1018.3,
25/01/2024 5:21:18 AM,175,864,20.7,49,1018.3,
25/01/2024 5:22:18 AM,176,872,20.7,49,1018.3,
25/01/2024 5:23:18 AM,177,860,20.8,49,1018.2,
25/01/2024 5:24:18 AM,178,856,20.8,49,1018.3,
25/01/2024 5:25:18 AM,179,873,20.9,49,1018.2,
25/01/2024 5:26:18 AM,180,848,21,49,1018.2,
25/01/2024 5:27:18 AM,181,859,21,48,1018.3,
25/01/2024 5:28:18 AM,182,863,21,48,1018.3,
25/01/2024 5:29:18 AM,183,844,21.1,48,1018.3,
25/01/2024 5:30:18 AM,184,840,21,48,1018.3,
25/01/2024 5:31:18 AM,185,842,21.1,48,1018.3,
25/01/2024 5:32:18 AM,186,856,21.1,48,1018.3,
25/01/2024 5:33:18 AM,187,843,21.1,48,1018.3,
25/01/2024 5:34:18 AM,188,843,21,48,1018.3,
25/01/2024 5:35:18 AM,189,841,21,48,1018.3,
25/01/2024 5:36:18 AM,190,836,21,48,1018.4,
25/01/2024 5:37:18 AM,191,835,21,48,1018.4,
25/01/2024 5:38:18 AM,192,830,21,48,1018.3,
25/01/2024 5:39:18 AM,193,825,21,48,1018.4,
25/01/2024 5:40:18 AM,194,827,21,48,1018.4,
25/01/2024 5:41:18 AM,195,837,21,48,1018.4,
25/01/2024 5:42:18 AM,196,830,20.9,48,1018.4,
25/01/2024 5:43:18 AM,197,818,20.9,48,1018.4,
25/01/2024 5:44:18 AM,198,829,20.9,48,1018.4,
25/01/2024 5:45:18 AM,199,835,20.9,48,1018.4,
25/01/2024 5:46:18 AM,200,829,20.9,48,1018.4,
25/01/2024 5:47:18 AM,201,824,20.9,48,1018.5,
25/01/2024 5:48:18 AM,202,813,20.8,48,1018.4,
25/01/2024 5:49:18 AM,203,810,20.8,48,1018.5,
25/01/2024 5:50:18 AM,204,802,20.8,48,1018.5,
25/01/2024 5:51:18 AM,205,812,20.8,48,1018.5,
25/01/2024 5:52:18 AM,206,795,20.8,48,1018.4,
25/01/2024 5:53:18 AM,207,808,20.8,48,1018.5,
25/01/2024 5:54:18 AM,208,785,20.8,48,1018.5,
25/01/2024 5:55:18 AM,209,792,20.7,48,1018.5,
25/01/2024 5:56:18 AM,210,794,20.7,48,1018.5,
25/01/2024 5:57:18 AM,211,779,20.7,48,1018.5,
25/01/2024 5:58:18 AM,212,791,20.7,48,1018.5,
25/01/2024 5:59:18 AM,213,796,20.7,48,1018.5,
25/01/2024 6:00:18 AM,214,797,20.7,48,1018.6,
25/01/2024 6:01:18 AM,215,791,20.7,48,1018.5,
25/01/2024 6:02:18 AM,216,775,20.8,48,1018.6,
25/01/2024 6:03:18 AM,217,785,20.8,48,1018.6,
25/01/2024 6:04:18 AM,218,789,20.8,48,1018.5,
25/01/2024 6:05:18 AM,219,790,20.9,48,1018.6,
25/01/2024 6:06:18 AM,220,780,20.9,48,1018.5,
25/01/2024 6:07:18 AM,221,794,21,48,1018.5,
25/01/2024 6:08:18 AM,222,785,21,48,1018.4,
25/01/2024 6:09:18 AM,223,786,21.1,48,1018.5,
25/01/2024 6:10:18 AM,224,793,21.2,47,1018.5,
25/01/2024 6:11:18 AM,225,777,21.2,47,1018.4,
25/01/2024 6:12:18 AM,226,790,21.2,47,1018.6,
25/01/2024 6:13:18 AM,227,775,21.2,47,1018.5,
25/01/2024 6:14:18 AM,228,774,21.3,47,1018.5,
25/01/2024 6:15:18 AM,229,777,21.2,47,1018.4,
25/01/2024 6:16:18 AM,230,780,21.2,47,1018.4,
25/01/2024 6:17:18 AM,231,770,21.2,47,1018.4,
25/01/2024 6:18:18 AM,232,775,21.2,47,1018.4,
25/01/2024 6:19:18 AM,233,769,21.2,47,1018.4,
25/01/2024 6:20:18 AM,234,753,21.2,47,1018.4,
25/01/2024 6:21:18 AM,235,775,21.2,47,1018.4,
25/01/2024 6:22:18 AM,236,760,21.2,47,1018.4,
25/01/2024 6:23:18 AM,237,779,21.2,47,1018.4,
25/01/2024 6:24:18 AM,238,773,21.2,47,1018.4,
25/01/2024 6:25:18 AM,239,764,21.2,47,1018.4,
25/01/2024 6:26:18 AM,240,753,21.1,47,1018.4,
25/01/2024 6:27:18 AM,241,759,21.1,47,1018.4,
25/01/2024 6:28:18 AM,242,772,21.1,47,1018.4,
25/01/2024 6:29:18 AM,243,754,21.1,47,1018.5,
25/01/2024 6:30:18 AM,244,752,21.1,47,1018.5,
25/01/2024 6:31:18 AM,245,751,21,47,1018.4,
25/01/2024 6:32:18 AM,246,765,21,47,1018.5,
25/01/2024 6:33:18 AM,247,744,21,47,1018.5,
25/01/2024 6:34:18 AM,248,743,21,47,1018.5,
25/01/2024 6:35:18 AM,249,733,21,47,1018.5,
25/01/2024 6:36:18 AM,250,733,21,47,1018.6,
25/01/2024 6:37:18 AM,251,733,21,47,1018.5,
25/01/2024 6:38:18 AM,252,726,20.9,47,1018.5,
25/01/2024 6:39:18 AM,253,718,20.9,47,1018.6,
25/01/2024 6:40:18 AM,254,728,20.9,47,1018.6,
25/01/2024 6:41:18 AM,255,722,20.9,47,1018.6,
25/01/2024 6:42:18 AM,256,731,20.9,47,1018.6,
25/01/2024 6:43:18 AM,257,716,20.9,47,1018.6,
25/01/2024 6:44:18 AM,258,722,20.8,47,1018.6,
25/01/2024 6:45:18 AM,259,727,20.9,47,1018.7,
25/01/2024 6:46:18 AM,260,716,20.8,47,1018.6,
25/01/2024 6:47:18 AM,261,730,20.8,47,1018.6,
25/01/2024 6:48:18 AM,262,712,20.8,47,1018.6,
25/01/2024 6:49:18 AM,263,714,20.8,47,1018.6,
25/01/2024 6:50:18 AM,264,724,20.8,47,1018.6,
25/01/2024 6:51:18 AM,265,722,20.8,47,1018.6,
25/01/2024 6:52:18 AM,266,728,20.8,47,1018.6,
25/01/2024 6:53:18 AM,267,721,20.8,47,1018.6,
25/01/2024 6:54:18 AM,268,715,20.8,47,1018.6,
25/01/2024 6:55:18 AM,269,723,20.8,47,1018.7,
25/01/2024 6:56:18 AM,270,723,20.8,47,1018.7,
25/01/2024 6:57:18 AM,271,714,20.8,47,1018.7,
25/01/2024 6:58:18 AM,272,711,20.9,47,1018.6,
25/01/2024 6:59:18 AM,273,712,20.9,47,1018.7,
25/01/2024 7:00:18 AM,274,716,21,47,1018.6,
25/01/2024 7:01:18 AM,275,721,21,47,1018.7,
25/01/2024 7:02:18 AM,276,712,21.1,47,1018.7,
25/01/2024 7:03:18 AM,277,712,21.2,47,1018.7,
25/01/2024 7:04:18 AM,278,715,21.2,47,1018.8,
25/01/2024 7:05:18 AM,279,711,21.2,46,1018.7,
25/01/2024 7:06:18 AM,280,706,21.3,46,1018.7,
25/01/2024 7:07:18 AM,281,712,21.3,46,1018.7,
25/01/2024 7:08:18 AM,282,717,21.3,46,1018.7,
25/01/2024 7:09:18 AM,283,723,21.3,46,1018.7,
25/01/2024 7:10:18 AM,284,708,21.3,46,1018.7,
25/01/2024 7:11:18 AM,285,699,21.3,46,1018.7,
25/01/2024 7:12:18 AM,286,712,21.3,46,1018.7,
25/01/2024 7:13:18 AM,287,703,21.3,46,1018.6,
25/01/2024 7:14:18 AM,288,726,21.3,46,1018.6,
25/01/2024 7:15:18 AM,289,708,21.3,46,1018.6,
25/01/2024 7:16:18 AM,290,717,21.3,46,1018.6,
25/01/2024 7:17:18 AM,291,718,21.3,46,1018.6,
25/01/2024 7:18:18 AM,292,696,21.2,46,1018.6,
25/01/2024 7:19:18 AM,293,708,21.2,46,1018.6,
25/01/2024 7:20:18 AM,294,692,21.2,46,1018.5,
25/01/2024 7:21:18 AM,295,694,21.2,46,1018.6,
25/01/2024 7:22:18 AM,296,699,21.2,46,1018.5,
25/01/2024 7:23:18 AM,297,703,21.2,46,1018.5,
25/01/2024 7:24:18 AM,298,693,21.1,46,1018.5,
25/01/2024 7:25:18 AM,299,695,21.1,46,1018.5,
25/01/2024 7:26:18 AM,300,688,21.1,46,1018.5,
25/01/2024 7:27:18 AM,301,689,21.1,46,1018.5,
25/01/2024 7:28:18 AM,302,681,21.1,46,1018.5,
25/01/2024 7:29:18 AM,303,683,21.1,46,1018.5,
25/01/2024 7:30:18 AM,304,688,21,46,1018.5,
25/01/2024 7:31:18 AM,305,700,21,46,1018.6,
25/01/2024 7:32:18 AM,306,683,21,46,1018.6,
25/01/2024 7:33:18 AM,307,678,21,46,1018.5,
25/01/2024 7:34:18 AM,308,682,21,46,1018.5,
25/01/2024 7:35:18 AM,309,681,21,46,1018.5,
25/01/2024 7:36:18 AM,310,665,20.9,46,1018.5,
25/01/2024 7:37:18 AM,311,692,21,46,1018.5,
25/01/2024 7:38:18 AM,312,673,21,46,1018.4,
25/01/2024 7:39:18 AM,313,682,21,46,1018.3,
25/01/2024 7:40:18 AM,314,676,20.9,46,1018.3,
25/01/2024 7:41:18 AM,315,693,20.9,46,1018.4,
25/01/2024 7:42:18 AM,316,676,20.9,46,1018.4,
25/01/2024 7:43:18 AM,317,694,20.9,46,1018.3,
25/01/2024 7:44:18 AM,318,697,20.9,46,1018.3,
25/01/2024 7:45:18 AM,319,682,20.9,46,1018.4,
25/01/2024 7:46:18 AM,320,676,20.9,46,1018.4,
25/01/2024 7:47:18 AM,321,675,20.8,46,1018.4,
25/01/2024 7:48:18 AM,322,676,20.9,46,1018.4,
25/01/2024 7:49:18 AM,323,672,20.8,46,1018.4,
25/01/2024 7:50:18 AM,324,679,20.8,46,1018.4,
25/01/2024 7:51:18 AM,325,680,20.8,46,1018.5,
25/01/2024 7:52:18 AM,326,682,20.8,46,1018.5,
25/01/2024 7:53:18 AM,327,678,20.8,46,1018.5,
25/01/2024 7:54:18 AM,328,684,20.8,46,1018.5,
25/01/2024 7:55:18 AM,329,668,20.8,46,1018.5,
25/01/2024 7:56:18 AM,330,683,20.8,46,1018.5,
25/01/2024 7:57:18 AM,331,680,20.7,46,1018.5,
25/01/2024 7:58:18 AM,332,659,20.7,46,1018.5,
25/01/2024 7:59:18 AM,333,675,20.8,46,1018.5,
25/01/2024 8:00:18 AM,334,665,20.8,46,1018.5,
25/01/2024 8:01:18 AM,335,671,20.8,46,1018.6,
25/01/2024 8:02:18 AM,336,663,20.9,46,1018.6,
25/01/2024 8:03:18 AM,337,689,20.9,46,1018.6,
25/01/2024 8:04:18 AM,338,665,20.9,46,1018.7,
25/01/2024 8:05:18 AM,339,663,21,46,1018.7,
25/01/2024 8:06:18 AM,340,658,21,46,1018.7,
25/01/2024 8:07:18 AM,341,662,21.1,46,1018.7,
25/01/2024 8:08:18 AM,342,671,21.2,46,1018.7,
25/01/2024 8:09:18 AM,343,659,21.2,46,1018.7,
25/01/2024 8:10:18 AM,344,733,21.3,49,1018.5,
25/01/2024 8:11:18 AM,345,719,21.3,48,1018.9,
25/01/2024 8:12:18 AM,346,732,21.3,48,1018.9,
25/01/2024 8:13:18 AM,347,761,21.3,47,1018.9,
25/01/2024 8:14:18 AM,348,745,21.3,47,1018.8,
25/01/2024 8:15:18 AM,349,767,21.3,47,1018.8,
25/01/2024 8:16:18 AM,350,788,21.3,47,1018.9,
25/01/2024 8:17:18 AM,351,810,21.3,47,1018.9,
25/01/2024 8:18:18 AM,352,826,21.3,47,1018.9,
25/01/2024 8:19:18 AM,353,826,21.3,47,1019,
25/01/2024 8:20:18 AM,354,847,21.3,47,1018.9,
25/01/2024 8:21:18 AM,355,864,21.3,47,1018.9,
25/01/2024 8:22:18 AM,356,886,21.2,47,1018.9,
25/01/2024 8:23:18 AM,357,888,21.2,47,1018.9,
25/01/2024 8:24:18 AM,358,899,21.2,47,1018.9,
25/01/2024 8:25:18 AM,359,912,21.2,47,1019,
25/01/2024 8:26:18 AM,360,920,21.2,47,1019,
25/01/2024 8:27:18 AM,361,927,21.2,47,1019,
25/01/2024 8:28:18 AM,362,937,21.2,47,1019,
25/01/2024 8:29:18 AM,363,929,21.2,47,1019,
25/01/2024 8:30:18 AM,364,920,21.2,47,1019,
25/01/2024 8:31:18 AM,365,944,21.2,47,1019,
25/01/2024 8:32:18 AM,366,948,21.2,47,1019.1,
25/01/2024 8:33:18 AM,367,938,21.2,47,1019.1,
25/01/2024 8:34:18 AM,368,944,21.2,47,1019.1,
25/01/2024 8:35:18 AM,369,956,21.2,47,1019.1,
25/01/2024 8:36:18 AM,370,945,21.2,47,1019.1,
25/01/2024 8:37:18 AM,371,987,21.2,47,1019.1,
25/01/2024 8:38:18 AM,372,990,21.2,47,1018.9,
25/01/2024 8:39:18 AM,373,960,21.2,47,1019,
25/01/2024 8:40:18 AM,374,1000,21.1,47,1019.4,
25/01/2024 8:41:18 AM,375,972,21.1,47,1019.5,
25/01/2024 8:42:18 AM,376,955,21.1,47,1019.3,
25/01/2024 8:43:18 AM,377,893,21.1,47,1019,
25/01/2024 8:44:18 AM,378,825,20.9,47,1018.6,
25/01/2024 8:45:18 AM,379,765,20.8,46,1018.6,
25/01/2024 8:46:18 AM,380,716,20.7,46,1018.6,
25/01/2024 8:47:18 AM,381,700,20.6,46,1018.5,
25/01/2024 8:48:18 AM,382,706,20.5,46,1018.6,
25/01/2024 8:49:18 AM,383,710,20.4,46,1018.5,
25/01/2024 8:50:18 AM,384,740,20.3,46,1018.7,
25/01/2024 8:51:18 AM,385,812,20.3,47,1018.7,
25/01/2024 8:52:18 AM,386,850,20.2,47,1018.7,
25/01/2024 8:53:18 AM,387,859,20.2,47,1018.7,
25/01/2024 8:54:18 AM,388,883,20.2,47,1018.7,
25/01/2024 8:55:18 AM,389,877,20.2,47,1018.7,
25/01/2024 8:56:18 AM,390,900,20.2,47,1018.7,
25/01/2024 8:57:18 AM,391,906,20.2,47,1018.7,
25/01/2024 8:58:18 AM,392,905,20.2,47,1018.7,
25/01/2024 8:59:18 AM,393,924,20.2,47,1018.7,
25/01/2024 9:00:18 AM,394,917,20.2,47,1018.7,
25/01/2024 9:01:18 AM,395,904,20.2,47,1018.8,
25/01/2024 9:02:18 AM,396,902,20.1,47,1018.7,
25/01/2024 9:03:18 AM,397,895,20.1,47,1018.7,
25/01/2024 9:04:18 AM,398,853,20.1,47,1018.6,
25/01/2024 9:05:18 AM,399,785,20.1,47,1018.7,
25/01/2024 9:06:18 AM,400,738,20,47,1019.4,
25/01/2024 9:07:18 AM,401,684,19.9,46,1019.9,
25/01/2024 9:08:18 AM,402,634,19.8,46,1019.8,
25/01/2024 9:09:18 AM,403,615,19.7,46,1019.1,
25/01/2024 9:10:18 AM,404,622,19.5,46,1017.9,
25/01/2024 9:11:18 AM,405,616,19.4,46,1016.9,
25/01/2024 9:12:18 AM,406,603,19.2,46,1017.2,
25/01/2024 9:13:18 AM,407,603,19.1,46,1017.3,
25/01/2024 9:14:18 AM,408,577,18.9,46,1017.4,
25/01/2024 9:15:18 AM,409,572,18.8,46,1016.4,
25/01/2024 9:16:18 AM,410,639,18.7,46,1016.6,
25/01/2024 9:17:18 AM,411,759,18.6,47,1016.6,
25/01/2024 9:18:18 AM,412,749,18.6,47,1016.7,
25/01/2024 9:19:18 AM,413,742,18.6,47,1016.6,
25/01/2024 9:20:18 AM,414,707,18.6,47,1016.7,
25/01/2024 9:21:18 AM,415,741,18.6,48,1016.7,
25/01/2024 9:22:18 AM,416,699,18.7,48,1016.7,
25/01/2024 9:23:18 AM,417,690,18.7,48,1016.7,
25/01/2024 9:24:18 AM,418,669,19,49,1017.5,
25/01/2024 9:25:18 AM,419,533,19.2,52,1017.6,
25/01/2024 9:26:18 AM,420,736,18.6,51,1017,
25/01/2024 9:27:18 AM,421,869,18.9,51,1017,
25/01/2024 9:28:18 AM,422,879,19.2,50,1017,
25/01/2024 9:29:18 AM,423,914,19.5,50,1017,
25/01/2024 9:30:18 AM,424,800,19.7,49,1017,
25/01/2024 9:31:18 AM,425,763,19.9,48,1017.1,
25/01/2024 9:32:18 AM,426,778,20,48,1017.1,
25/01/2024 9:33:18 AM,427,747,20.2,47,1017,
25/01/2024 9:34:18 AM,428,710,20.3,47,1017.1,
25/01/2024 9:35:18 AM,429,709,20.4,47,1017.1,
25/01/2024 9:36:18 AM,430,696,20.5,47,1017.1,
25/01/2024 9:37:18 AM,431,715,20.6,47,1017.2,
25/01/2024 9:38:18 AM,432,808,20.7,47,1017.2,
